TMC,Severity,Start_Time,Start_Lat,Start_Lng,City,County,State (IL),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
200,3,7/14/2016 8:51,41.984241,-87.836693,Chicago,Cook,,75,73,29.88,10,11.5,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
200,2,7/26/2016 11:09,41.150204,-87.916115,Kankakee,Kankakee,,82,57,30.07,10,6.9,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
200,2,11/13/2016 11:33,42.212078,-88.111542,Barrington,Lake,,53.1,43,30.12,10,13.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
201,2,6/21/2016 10:18,41.751842,-87.973816,Darien,DuPage,,75.9,40,30.04,10,8.1,,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
201,3,6/21/2016 10:23,41.713593,-87.605873,Chicago,Cook,,77,37,29.99,10,5.8,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
201,2,6/21/2016 10:35,41.973721,-88.150291,Hanover Park,DuPage,,75.9,38,30.02,10,12.7,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
201,2,6/21/2016 10:59,41.893494,-87.993652,Villa Park,DuPage,,77,36,30,10,13.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
201,2,6/21/2016 11:00,41.803539,-87.933945,Hinsdale,Dupage,,79,35,29.99,10,12.7,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
201,3,6/21/2016 11:19,38.757374,-90.067108,Granite City,Madison,,79,72,30.09,10,6.9,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
201,2,6/21/2016 13:45,41.868172,-88.114937,Wheaton,DuPage,,80.1,35,29.98,10,9.2,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
